hash;Avast;AVG;BitDefender;ESET-NOD32;FireEye;Kaspersky;McAfee;Microsoft;Symantec;TrendMicro;detections;Neural Network;Malware
d3f4595f210be5a466132637036d72c3;1;1;1;1;1;1;1;1;1;1;10;1;1
0c86b8dba4c7789c2d7f5f5e343ae921;1;1;1;1;1;1;1;1;1;1;10;1;1
92f935f42f6051ee6f81eb87ae13bfa9;1;1;1;1;1;1;1;1;1;1;10;1;1
2c1ad03cc3291c02898eb5a795d6ce83;1;1;1;1;1;1;1;1;1;1;10;1;1
187a269d103856e0d922e71e26046ac4;1;1;1;1;1;1;1;1;1;1;10;1;1
dbd81ba0d17423d4966ade1236ce79af;0;0;1;0;1;0;0;0;0;0;2;1;1
e3f54665620fe7e06b52fb781f27cb4e;1;1;1;1;1;1;1;1;1;1;10;1;1
97dd0c28e4bc7184e500b88822f6115c;1;1;1;1;1;1;1;1;1;1;10;1;1
311102ca55b09ee930cfceca5e4c06da;1;1;1;1;1;1;1;1;1;1;10;1;1
5107a77926256b619f4e702900bc6644;1;1;1;1;1;1;1;1;1;1;10;1;1
605e2e137b27ca373e5768af5258559d;1;1;1;1;1;1;1;1;1;1;10;1;1
5f7b0769ecc70adc2b32c6916050d4ab;1;1;1;1;1;1;1;1;1;1;10;1;1
a7fe386df37ae66d6f28ed9b91e0278f;1;1;1;1;1;1;1;1;1;1;10;1;1
ab747d205d00ba641f13d362d234c5f4;1;1;1;1;1;1;1;1;1;1;10;1;1
6ab77de0a407ebcdaf109615ba9a999c;1;1;1;1;1;1;1;1;1;0;9;1;1
23b04f4c7d134b4b8a7eadd756da0e14;1;1;1;1;1;1;1;1;1;1;10;1;1
449afa12bc0b10528057490c0b30b91d;1;1;1;1;1;1;1;1;1;1;10;1;1
12c76001471eaad13a04f0b0aba1c1ba;1;1;1;1;1;1;1;1;1;1;10;0;1
f8f2a1a2069f5f50fb69c18743bb2fe6;1;1;1;1;1;1;1;1;1;1;10;1;1
aeed467bd3fa90f23839ed04d242e86c;1;1;1;1;1;1;1;1;1;1;10;1;1
93b821f24ae3f9d3b6725c7dabd9e9df;1;1;1;1;1;1;1;1;1;1;10;0;1
e4c32daf08e6402c918e9140ff3258b0;1;1;1;1;1;1;1;1;1;0;9;1;1
